date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:22	47723/47723	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Apr%202021%2019:32:15%20GMT	http://citylinegroup.com.tr/ru	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/ru.html	(from )
22:34:23	7287/7287	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Apr%202021%2019:32:16%20GMT	http://citylinegroup.com.tr/robots.txt		(from )
22:34:24	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5b2c05dfbbeef%22	http://citylinegroup.com.tr/sayfa/files/images/favicon.ico	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/images/favicon.ico	(from http://citylinegroup.com.tr/ru)
22:34:25	19438/19438	---M--	200	added ('OK')	image/png	etag:%224bee-5999fa3528705%22	http://citylinegroup.com.tr/favicon.png	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/favicon.png	(from http://citylinegroup.com.tr/ru)
22:34:32	121197/121197	---M--	200	added ('OK')	text/css	etag:%221d96d-5b2c05e10314f%22	http://citylinegroup.com.tr/sayfa/files/css/bootstrap.min.css	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/css/bootstrap.min.css	(from http://citylinegroup.com.tr/ru)
22:34:33	33113/33113	---M--	200	added ('OK')	text/css	etag:%228159-5b2c05e3633c7%22	http://citylinegroup.com.tr/sayfa/files/css/fontawesome/css/font-awesome.min.css	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/css/fontawesome/css/font-awesome.min.css	(from http://citylinegroup.com.tr/ru)
22:34:35	4141/4141	---M--	200	added ('OK')	text/css	etag:%22102d-5a53dcd2df426%22	http://citylinegroup.com.tr/sayfa/files/css/owl.carousel.min.css	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/css/owl.carousel.min.css	(from http://citylinegroup.com.tr/ru)
22:34:35	5228/5228	---M--	200	added ('OK')	text/css	etag:%22146c-5b2c05e35b6c7%22	http://citylinegroup.com.tr/sayfa/files/css/magnific-popup.min.css	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/css/magnific-popup.min.css	(from http://citylinegroup.com.tr/ru)
22:34:36	3592/3592	---M--	200	added ('OK')	text/css	etag:%22e08-5b2c05e37491f%22	http://citylinegroup.com.tr/sayfa/files/css/loader.min.css	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/css/loader.min.css	(from http://citylinegroup.com.tr/ru)
22:34:40	263768/263768	---M--	200	added ('OK')	text/css	etag:%2240658-5a70b527b69e7%22	http://citylinegroup.com.tr/sayfa/files/css/style.css	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/css/style.css	(from http://citylinegroup.com.tr/ru)
22:34:42	2996/2996	---M--	200	added ('OK')	text/css	etag:%22bb4-5b2c05e409fbf%22	http://citylinegroup.com.tr/sayfa/files/css/flaticon.min.css	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/css/flaticon.min.css	(from http://citylinegroup.com.tr/ru)
22:34:47	5037/5037	---M--	200	added ('OK')	text/css	etag:%2213ad-5b2c05e4e538f%22	http://citylinegroup.com.tr/sayfa/files/css/skin/skin-3.css	/home/maks/Desktop/websites/citylinegroup/citylinegroup.com.tr/sayfa/files/css/skin/skin-3.css	(from http://citylinegroup.com.tr/ru)
